time,Ts,fs,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_raw,front_max,front_filtered,front_distance_measurement,left_encoder,right_encoder,delta_left_theta,delta_right_theta,delta_left_s,delta_right_s,delta_s,x_pred,P_pred,K,kalman_estimate,P,obstacle_enter,obstacle_still_near,turning,turn_direction,left_speed,right_speed,decision
3.968,0.032,31.25,62.741357078252506,67.95654954434787,66.29384152339894,64.42326256335467,64.39739073218738,145.09304584615643,114.80552087260794,62.78878000035506,77.07305187389085,114.80552087260794,75.58530814572848,0.10283747347798194,2423.69692,2455.65584,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.09868741991638544,0.0013956439237389601,0.358257569495584,0.1001742080186395,0.00089564392373896,False,True,False,turn_left,3.0,3.0,forward
4.0,0.032,31.25,68.6541066967871,65.64650339988916,69.81278848471014,63.783676947056485,74.85972836392035,149.83472471943662,123.02791410168562,70.40164845726241,81.93254316390608,123.02791410168562,76.854755149364,0.10200519572877531,2423.79112,2455.75632,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.09817873801863886,0.0013956439237389601,0.358257569495584,0.09954959545764998,0.00089564392373896,True,True,True,turn_right,2.5,-2.5,start_turn_right
4.032,0.032,31.25,63.61273271775925,73.87064552731735,61.43950004070192,66.0063135152754,67.45484931656928,151.16311746752976,97.58123571065327,60.416262485432235,73.87021911029053,97.58123571065327,76.2578479415493,0.10239485703134125,2423.87276,2455.67468,0.08164000000033411,-0.08163999999987936,0.0016736200000068494,-0.001673619999997527,4.661201979949681e-15,0.09954959545764532,0.0013956439237389601,0.358257569495584,0.1005689319536168,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.064,0.032,31.25,67.29429356598513,61.84787761359256,66.0806387527418,62.42954667021663,69.6132775947583,159.9973011395723,92.79487281526328,70.21798838476265,73.0387580949009,92.79487281526328,75.61402997221963,0.10281849266969267,2423.94812,2455.59304,0.07535999999981868,-0.08163999999987936,0.0015448799999962831,-0.001673619999997527,-6.437000000062191e-05,0.10063330195361742,0.0013956439237389601,0.358257569495584,0.10141616306844285,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.096,0.032,31.25,69.15457076019166,69.4088128340314,72.76466108700649,66.10532352688894,62.50877737487683,165.63741637117974,67.83149521947152,63.5066894154129,67.47539205727688,69.4088128340314,73.98630238923108,0.10390534581158271,2424.02976,2455.51768,0.08163999999987936,-0.07536000000027343,0.001673619999997527,-0.0015448800000056053,6.436999999596081e-05,0.1013517930684469,0.0013956439237389601,0.358257569495584,0.10226662266778151,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.128,0.032,31.25,70.16092211464958,67.71335840176883,67.79133090417194,67.8131140091379,63.36441064753989,163.1977325402252,63.857773132485974,63.14294344815014,66.21874927426364,70.16092211464958,72.4327917662376,0.10496429157144026,2424.1114,2455.43604,0.08163999999987936,-0.08163999999987936,0.001673619999997527,-0.001673619999997527,0.0,0.10226662266778151,0.0013956439237389601,0.358257569495584,0.10323308297251012,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.16,0.032,31.25,64.33853481109279,74.67892704178037,69.18572522788725,68.45516431628847,64.29670730583739,157.19544975368152,67.42621589838764,67.24252521827722,68.42155074238451,74.67892704178037,71.630543561467,0.10551963756242835,2424.18676,2455.3544,0.07536000000027343,-0.08163999999987936,0.0015448800000056053,-0.001673619999997527,-6.436999999596081e-05,0.10329745297250607,0.0013956439237389601,0.358257569495584,0.10409356742266217,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.192,0.032,31.25,69.94150085125264,71.05253446347115,64.1463804380264,65.86309954349963,66.65059447540636,164.16729537428944,66.16165942448372,64.64545533686356,67.95028751901776,71.05253446347115,70.89449235297715,0.10603435387537072,2424.2684,2455.27276,0.08163999999987936,-0.08164000000033411,0.001673619999997527,-0.0016736200000068494,-4.661201979949681e-15,0.10409356742266683,0.0013956439237389601,0.358257569495584,0.10478886886012248,0.00089564392373896,False,True,True,turn_right,2.5,-2.5,turning_right
4.224,0.032,31.25,64.35046199872325,68.84990856454671,66.81606807563696,68.04720633628479,72.39637377990078,157.35602010875115,71.64195415966064,67.38366840840658,68.0564982828343,71.64195415966064,70.32689353894858,0.10643471453000204,2424.35004,2455.1974,0.08163999999987936,-0.07535999999981868,0.001673619999997527,-0.0015448799999962831,6.437000000062191e-05,0.10472449886012186,0.0013956439237389601,0.358257569495584,0.1053371965693264,0.00089564392373896,False,False,False,turn_right,3.0,3.0,resume_forward
4.256,0.032,31.25,68.55767477026036,67.48507445132341,69.74933448021063,66.58134161733699,69.07390472024996,154.54778461059814,68.87959626733969,65.2908228038838,67.55329207320182,68.87959626733969,69.77217324579924,0.10682892324558536,2424.44424,2455.2916,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10340609656932638,0.0013956439237389601,0.358257569495584,0.10463235013516757,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.288,0.032,31.25,60.98449355060235,67.39526788236716,72.82943419694763,66.56179996152207,64.16568586042652,131.0975266968377,70.7223857589629,63.82712644318421,65.73231840877916,70.7223857589629,68.96420227839522,0.10740835553294897,2424.53844,2455.3858,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10270125013516755,0.0013956439237389601,0.358257569495584,0.10438760627433627,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.32,0.032,31.25,67.23851169109348,68.13822953158653,63.76274901218828,61.33003855448474,65.26295134175786,131.30931202029132,60.385029595619464,69.6572456933259,66.35475412790635,69.6572456933259,68.44231264829745,0.1077859790416268,2424.63892,2455.48,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.10239213627433563,0.0013956439237389601,0.358257569495584,0.1043245212743867,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.352,0.032,31.25,71.48710521325958,71.2036101760768,66.11619473058668,71.10944960159497,64.0697116500873,128.76156397327313,63.7572470443905,65.51191917776,67.98997040287173,71.48710521325958,68.35184419921231,0.10785170947059218,2424.73312,2455.58048,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.10232905127438606,0.0013956439237389601,0.358257569495584,0.10430758537691373,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.384,0.032,31.25,66.84506501871203,67.24558404697642,69.07343932409339,64.0328411400146,70.25888318671491,138.8794287514004,67.18162912639107,64.38671850683932,66.4147491747297,67.24558404697642,67.9644251943158,0.1081341003351842,2424.82732,2455.67468,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10237648537691371,0.0013956439237389601,0.358257569495584,0.10443919451795511,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.416,0.032,31.25,67.85657363093152,66.32325552179381,63.28459336966929,63.28996159795551,63.71976703750106,125.21165466900935,66.32992738827207,59.24585223856266,64.93890219489002,67.85657363093152,67.35932059443064,0.10857813360877229,2424.9278,2455.76888,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.10244372451795447,0.0013956439237389601,0.358257569495584,0.10464142300912248,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.448,0.032,31.25,65.25337620761546,64.69269239896491,64.77284001847809,66.05797511112648,65.382273661827,138.28352707342287,65.82750390226234,74.64733177081035,67.60522606991326,74.64733177081035,67.40850168952717,0.1085419078046076,2425.022,2455.86936,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.10264595300912184,0.0013956439237389601,0.358257569495584,0.1047582234440084,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.48,0.032,31.25,68.58888459647903,63.19099492190657,69.14560649286213,68.76121381553317,69.6434460230615,127.05974805081797,62.65395981312349,68.62640401350974,65.7650608362547,68.62640401350974,67.07981351887268,0.1087844729823984,2425.1162,2455.96356,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10282712344400838,0.0013956439237389601,0.358257569495584,0.10496138901026762,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.5120000000000005,0.032,31.25,69.45824979730648,72.35040216844001,65.3850920978442,68.36394343423203,69.38173164221328,126.01171035076216,68.34204007538588,69.0632615031162,69.80348838606214,72.35040216844001,67.62454849231058,0.10838305799007002,2425.2104,2456.05776,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.1030302890102676,0.0013956439237389601,0.358257569495584,0.10494795901504297,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.5440000000000005,0.032,31.25,72.87197360773766,67.58260108256745,60.98662631112432,65.99042260648353,66.82057359183618,119.60888851299592,69.96430919625675,67.73285431947568,69.53793455150938,72.87197360773766,68.00722570415034,0.10810283027655816,2425.31088,2456.15196,0.10048000000006141,0.09420000000000073,0.002059840000001259,0.001931100000000015,0.0019954700000006367,0.10295248901504234,0.0013956439237389601,0.358257569495584,0.10479763775746581,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.5760000000000005,0.032,31.25,74.4842948296132,64.10504169158261,69.48125006867384,66.913121699497,67.40461467175477,110.13975222504673,67.78842996467722,65.40734682777288,67.94627832841148,74.4842948296132,67.99503622900258,0.10811173406682462,2425.40508,2456.25244,0.09420000000000073,0.10048000000006141,0.001931100000000015,0.002059840000001259,0.0019954700000006367,0.10280216775746517,0.0013956439237389601,0.358257569495584,0.10470436007853193,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
4.6080000000000005,0.032,31.25,61.9986111199907,66.04410267823977,65.60116388161404,72.74729067436624,69.51091091292858,113.79360217366391,69.93691479741423,64.14171950096224,65.53033702415173,69.93691479741423,67.50209638803241,0.10847303456561694,2425.49928,2456.34664,0.09420000000000073,0.09420000000000073,0.001931100000000015,0.001931100000000015,0.001931100000000015,0.10277326007853191,0.0013956439237389601,0.358257569495584,0.10481524743294793,0.00089564392373896,False,True,False,turn_right,3.0,3.0,forward
